parksid,block,lotnum,lotsize,areacovered
M405-GT001,1827,14,,
BGT063,4440,1,8500,Partial Lot
M407-GT001,1919,5,,
B573-GT001,1652,39,,
B573-GT001,1652,38,,
B557-GT001,3588,32,600,Full Lot
B557-GT001,3588,33,600,Full Lot
B557-GT001,3588,34,600,Full Lot
B557-GT001,3588,35,600,Full Lot
B557-GT001,3588,36,600,Full Lot
B554-GT001,1475,40,1245,Full Lot
X361-GT001,2979,35,,
X361-GT001,2979,36,,
XGT038,2973,52,,
B442-GT001,3775,24,,
XGT039,2458,,19365,Partial Lot
B556-GT001,3232,40,,
B556-GT001,3232,42,,
B556-GT001,3232,47,,
B571-GT001,7769,17,4000,Full Lot
Q371-GT001,16004,85,,
QGT014,12367,170,,
X332-GT001,2690,135,,
B570-GT001,440,45,2300,Full Lot
B564-GT001,3833,43,,
B564-GT001,3833,44,,
MGT037,1725,6,2548,Full Lot
MGT037,1725,7,1665,Full Lot
MGT037,1725,107,1665,Full Lot
MGT037,1725,8,1665,Full Lot
B565-GT001,3537,19,2617,Full Lot
B568-GT002,4000,3,,
M400-GT001,1831,16,,
M397-GT001,393,20,2370,Full Lot
Q371-GT002,16004,85,,Partial Lot
B223U-GT001,2726,14,,
BGT065,3467,27,,
MGT038,1620,23,,Partial Lot
M113A-GT001,405,30,,
MGT039,2080,58,,
M331-GT001,1644,146,,
M331-GT002,1644,46,,
QGT015,8261,81,,
B519-GT001,1762,67,,
Q484-GT001,15837,47,3800,
Q484-GT001,15837,49,2850,
Q484-GT001,15837,51,2850,
Q484-GT001,15837,52,3800,
Q484-GT001,15837,54,3800,
Q484-GT002,15837,29,3804,
Q484-GT002,15837,31,3804,
Q484-GT002,15837,41,11400,
Q484-GT002,15837,33,4284,
R123-GT001,80,70,,
B583-GT001,2450,28,,
B584-GT001,3438,63,,
M406-GT001,1918,51,,
M380-GT001,1728,54,3331,Full Lot
QGT016,16136,11,,
B522-GT001,3997,16,,
